price,sqft_living,sqft_lot,sqft_above,yr_built,lat
480000,1040,5060,1040,1941,47.5636
410000,1410,5060,910,1956,47.7073
720000,3450,39683,3450,2002,47.342
390000,2350,5100,2350,2003,47.3512
360000,1900,5889,1900,1992,47.349
355000,2020,6720,1010,1948,47.5474
356000,1680,8712,1680,1964,47.4811
315000,960,6634,960,1952,47.7264
940000,2140,3600,1900,1925,47.6337
305000,2660,8400,2660,1961,47.2909
461000,2770,6278,1980,2006,47.5228
215000,1610,2040,1610,1979,47.518
335000,1030,1066,765,2006,47.5394
243500,1980,7403,1980,1988,47.2897
1.10E+06,3520,6353,3520,2001,47.6506
153000,1200,10500,1200,1962,47.322
430000,1580,5000,1290,1939,47.687
700000,1580,5000,1290,1939,47.687
905000,3300,10250,2390,1946,47.5873
247500,1960,15681,1960,1967,47.3576
199000,1160,6400,1160,1975,47.3036
314000,1810,41800,1210,1980,47.4109
437500,2320,36847,2320,1992,47.4838
850830,2070,13241,1270,1910,47.6415
555000,1980,3478,1440,1929,47.6775
699950,2190,107593,2190,1983,47.7731
1.09E+06,2920,8113,2920,1950,47.5814
290000,1210,33919,1210,1954,47.4375
375000,2340,10005,1460,1978,47.4431
460000,1670,4005,1170,1939,47.6878
188500,1240,2493,1240,1985,47.3813
680000,3140,28037,3140,1991,47.7304
470000,2030,12342,2030,1942,47.6417
597750,2310,9624,2310,1984,47.5386
570000,1260,3328,700,1905,47.6823
272500,1540,12600,1160,1980,47.3624
329950,2080,5969,1080,1971,47.5474
480000,3230,16171,2520,2001,47.3183
740500,4380,6350,2780,1900,47.6981
518500,1590,1102,1590,2010,47.6824
205425,880,6780,880,1945,47.5009
171800,1570,9600,1570,1950,47.4965
535000,1610,2982,1610,1925,47.587
660000,2400,6474,1560,1964,47.7728
391500,1450,9132,1450,1987,47.7288
395000,770,6000,770,1953,47.6999
445000,2100,4400,1720,1924,47.5299
770000,2910,10204,2910,1990,47.6897
1.45E+06,2750,17789,1980,1914,47.6141
445000,2100,8201,1620,1967,47.5091
260000,2160,8811,1360,1978,47.3129
822500,2320,4960,1720,1926,47.6763
430000,2070,4310,2070,2004,47.5319
212000,1060,7875,1060,1986,47.2761
660500,2010,9603,1440,1986,47.5343
784000,3950,111078,2460,1989,47.697
453246,2010,2287,1390,2014,47.5517
675000,2140,2278,2140,2005,47.6734
199000,1320,17390,1320,1956,47.3257
220000,2020,7840,1010,1968,47.3309
452000,2590,10002,1340,1968,47.7689
382500,1190,4440,1190,1981,47.7135
519950,1170,1249,1170,2014,47.6722
665000,1110,3200,1110,1925,47.6338
527700,2820,9375,1550,1968,47.5707
205000,1610,8579,1010,1962,47.4563
420000,1060,8097,940,1923,47.7144
500000,2030,8517,1380,1961,47.5495
921500,3670,315374,3670,1994,47.7421
890000,2550,4000,2370,1905,47.6354
430000,2420,60984,2420,2007,47.5262
258000,2260,12500,1130,1960,47.3887
511000,1430,3455,980,1947,47.6873
532170,1360,3090,1360,1990,47.6838
560000,1110,5000,1110,1947,47.655
282950,1250,8200,1250,1954,47.3255
2.25E+06,5180,19850,3540,2006,47.562
350000,700,5100,700,1942,47.679
215000,1180,7669,1180,1967,47.4479
650000,3960,25245,2500,1996,47.525
320000,2640,7500,1620,1967,47.3135
247000,1270,7198,1270,1916,47.2086
320000,1760,11180,1760,1968,47.4715
255000,2060,8632,1030,1962,47.4877
438000,1780,9660,1780,1962,47.7171
900000,3400,16603,3400,2000,47.6012
441000,1910,7280,1160,1979,47.7319
420000,2020,38332,1010,1975,47.4582
370000,1580,7000,1180,1976,47.7209
269950,1340,7250,700,1949,47.408
807100,2680,4499,2680,1999,47.565
653000,2680,9750,1610,1979,47.7028
371500,1370,8336,1370,1964,47.7458
284000,1560,21000,1560,1954,47.4776
272000,2160,7140,1670,1978,47.3026
313000,1340,7912,1340,1955,47.7658
917500,3880,35003,2570,1984,47.6477
673000,2590,8190,2590,1980,47.5619
425000,1120,1100,820,2008,47.6106
399950,1970,5400,1320,1986,47.5868
385000,1220,4800,1220,1901,47.6101
269950,1950,7560,1320,1975,47.1976
330000,1350,8220,1060,1949,47.7224
260000,1670,5797,1670,1988,47.3505
470000,2380,5125,1680,1925,47.5384
589000,2440,9600,2440,1961,47.7044
163500,1050,3419,1050,1996,47.3848
835000,3130,13412,2140,1993,47.6993
1.10E+06,4090,12850,2090,1986,47.6627
269000,1490,10000,1100,1969,47.3099
560000,1900,8744,1900,1987,47.62
615000,1330,2400,1330,1901,47.65
585188,2230,10026,1430,1975,47.6647
305000,1650,9480,1220,1977,47.726
166950,1190,8820,1190,1959,47.4616
799000,2140,9897,2140,1959,47.5505
400000,2180,7508,1420,1962,47.7606
230000,1060,10228,1060,1948,47.7481
256883,1690,5025,1690,2003,47.2779
423000,1970,6480,1130,1920,47.5511
465000,2150,4084,2150,2007,47.5488
440000,1910,66211,1910,1997,47.5385
385000,1350,155073,1350,1969,47.4058
210000,860,11725,860,1943,47.5093
297000,1940,14952,1940,1994,47.3777
470000,1010,5000,1010,1952,47.675
226500,1300,7370,900,1976,47.3025
274250,910,8450,910,1962,47.4787
840000,2480,11010,1630,1966,47.5378
677900,2440,4587,2440,2010,47.7073
425000,1010,5864,1010,1915,47.5733
180250,900,9600,900,1941,47.4604
464000,2300,3404,1600,1920,47.7067
320000,1550,7579,1550,1993,47.354
625504,1270,1566,1060,2014,47.6647
592500,2240,12032,2240,1983,47.6143
465000,2714,17936,2714,2005,47.3185
477000,1720,6270,1720,1978,47.5458
280000,850,16400,850,1923,47.4889
1.51E+06,3300,33474,1870,1957,47.5673
445838,2250,5692,2250,2000,47.5133
1.07E+06,3900,14864,1950,1947,47.5884
467000,1320,10800,1320,1947,47.7145
686000,2760,6440,2760,1999,47.5836
279950,1750,9750,1350,1961,47.398
527000,2330,19436,2330,1987,47.7663
325000,2220,16020,1780,1966,47.3758
328000,2020,8379,2020,1994,47.3828
390000,1250,7500,1250,1942,47.5123
479950,1510,6516,1510,2005,47.7076
264950,1720,9753,1120,1978,47.2922
235000,1430,15246,980,1961,47.4075
516500,1480,4729,1480,2004,47.6794
655000,1450,15798,1230,1915,47.4497
500000,2280,15347,2280,1960,47.5218
315000,2940,7350,1780,1978,47.3103
213000,1000,10200,1000,1961,47.5687
475000,2480,5280,1620,1947,47.5575
1.03E+06,3760,28040,3760,1983,47.6489
416000,2220,94300,1640,1976,47.3459
410000,1970,4740,1670,1904,47.6136
800000,3830,221284,3530,1993,47.7641
472000,4410,14034,2350,1965,47.3376
225000,1430,8505,1430,1968,47.3173
210000,830,6000,830,1940,47.5308
455000,1430,5000,1430,1925,47.6727
225000,1300,8316,1300,1954,47.3221
480000,1030,3060,790,1918,47.6779
363000,2740,11872,2740,1990,47.3076
2.40E+06,3650,8354,1830,2000,47.6338
181000,720,5120,720,1954,47.5218
250000,2010,7312,2010,1976,47.2785
481000,1560,3000,770,1918,47.6846
260000,1810,7209,1240,1978,47.3656
455000,3360,7685,3360,2001,47.4369
415000,1510,36224,1510,1991,47.4616
349500,1400,3538,800,1953,47.5405
245000,1730,7442,1730,1987,47.3507
592500,1420,9191,1420,1928,47.6979
385000,2360,7620,1180,1955,47.5278
315000,1580,11455,1200,1974,47.4756
255000,1230,10170,1230,1979,47.4437
693000,2460,4425,2460,2006,47.7048
780000,1660,4400,1460,1911,47.6362
237000,1270,8470,1270,1960,47.4207
525000,2100,40510,1320,1979,47.6154
425000,770,5040,770,1930,47.5964
369900,760,10079,760,1936,47.4683
290000,1700,7280,1700,1988,47.4045
285000,1120,10701,1120,1954,47.5544
415000,1070,4500,1070,1937,47.6802
272500,2070,9900,1420,1979,47.2988
2.90E+06,5050,20100,4750,1982,47.6312
1.37E+06,5310,57346,5310,1989,47.7285
436000,1040,7538,1040,1939,47.7107
210000,1700,11390,1700,1967,47.3271
236000,1300,5898,1300,1961,47.5053
331000,1080,1306,580,1954,47.6601
365000,2653,4510,2653,2006,47.4145
450000,2290,16258,2290,1960,47.4672
770000,3820,26300,2850,2014,47.7618
455000,2210,49375,2210,1997,47.3828
405000,2390,6000,1240,1908,47.5362
304900,2600,11325,1610,1969,47.3954
170000,860,5265,860,1931,47.5048
2.05E+06,3830,8480,2630,1905,47.6166
780000,3500,7048,3500,2005,47.6811
330000,2420,13959,1740,1988,47.7486
370000,2720,8666,2720,1992,47.3846
467000,2500,13500,1850,1979,47.7564
405000,1670,6720,1140,1980,47.7198
675000,2900,10300,1450,1985,47.5461
500000,1640,14100,1140,1954,47.5712
389999,1890,15770,1890,1968,47.4281
630000,2950,9025,1780,1975,47.7128
360000,2160,9528,2160,1992,47.3341
580000,3280,11060,2270,1986,47.5399
550000,1970,4166,1270,1929,47.5717
879000,3360,22111,3360,1994,47.5951
265000,1320,8959,1320,1993,47.3536
446500,2650,7286,2650,1990,47.5084
404000,2030,8880,1330,1963,47.5586
267500,1590,11914,1090,1957,47.4427
3.08E+06,4550,18641,2600,2002,47.6053
335000,2440,7632,2440,1998,47.3494
576000,1940,9000,970,1948,47.6933
208633,2040,3810,2040,2006,47.3537
315000,2200,8750,1120,1964,47.476
725000,1920,3300,960,1913,47.6239
550000,1800,7750,1400,1965,47.7776
610750,2180,7297,2180,1984,47.6459
550700,1010,5000,1010,1908,47.6692
665000,3320,10574,2220,1960,47.5376
834000,2370,4000,1980,1928,47.601
201000,1660,78408,1660,1915,47.529
2.38E+06,3650,9050,3370,1921,47.6345
1.38E+06,4290,12103,2690,1997,47.5503
1.40E+06,4290,12103,2690,1997,47.5503
305000,1950,7700,1350,1979,47.4441
487000,2590,14052,1720,1948,47.7357
390000,1930,64904,1930,1988,47.346
548000,1470,3864,1170,1916,47.6638
268750,800,8775,800,1943,47.48
819900,3150,7119,3150,2013,47.6759
520000,2030,16200,2030,1984,47.5162
230000,1450,11204,1450,2003,47.2639
240000,1510,10248,1510,1969,47.2929
232000,1240,12092,960,1922,47.4957
240500,1240,12092,960,1922,47.4957
274975,3030,45004,3030,1987,47.7721
740000,2050,4400,2050,1922,47.644
186375,1000,7636,1000,1952,47.472
790000,2370,10289,1590,1977,47.592
880000,2800,6750,1890,1951,47.669
279000,2240,11180,2240,1955,47.42
295000,1810,10530,1810,1991,47.1913
640000,1070,5000,1070,1924,47.6666
940000,2490,9525,2490,1968,47.5639
260000,1960,5238,1960,2003,47.3483
559900,2930,5569,1860,2004,47.7648
791500,1510,3500,1510,1911,47.6794
265000,1420,8250,1420,1954,47.7535
245000,1740,11547,1740,1954,47.4945
485000,2560,43995,2560,1962,47.6945
684000,3040,8414,2420,2010,47.5222
425000,2500,6840,1300,1957,47.7222
309600,1275,20000,1275,1991,47.3796
552250,2580,5823,2580,2002,47.5374
165000,1000,7134,1000,1943,47.4897
239900,1000,7134,1000,1943,47.4897
320000,1070,32633,1070,1930,47.4716
206600,1390,13464,1390,1987,47.3581
387000,2500,7690,1250,1973,47.7713
299000,560,12120,560,1967,47.675
855000,2270,10460,2270,1965,47.5603
315000,1900,14400,1300,1954,47.4147
437500,990,3120,790,1907,47.68
252000,1550,19800,1050,1969,47.3117
375000,2200,7475,1100,1955,47.543
300000,1910,4862,1910,2005,47.3607
420000,1750,9600,1750,1954,47.5759
900000,1330,77972,1330,1928,47.6891
679900,2440,5750,1980,2000,47.565
463000,1640,29970,1640,1992,47.6359
380000,2760,11340,2760,1978,47.4769
329500,1820,7912,1820,1994,47.3845
604950,2110,5608,1340,2013,47.6743
795000,3040,9570,1640,1966,47.5651
465000,1840,40438,1840,1994,47.4853
673000,2990,10400,2990,2002,47.4508
810000,3520,15420,3520,1991,47.6375
785000,2440,69415,1910,1989,47.5944
338000,2090,7500,1370,1986,47.4888
280000,1430,7222,1430,1993,47.5112
315000,2180,10754,1100,1954,47.7711
530000,2180,10754,1100,1954,47.7711
380000,3450,9914,3450,2004,47.2813
297000,1450,7562,1450,1994,47.5038
730000,3230,7331,3230,2004,47.5823
450000,1640,13500,1110,1940,47.7164
275000,1590,7750,1060,1997,47.3624
595000,2020,2849,2020,1960,47.6831
435000,1300,3348,1300,1904,47.592
270000,1380,209959,1380,1954,47.7461
950000,4040,14338,3030,1986,47.7268
389000,2130,5337,2130,2001,47.7237
560000,2550,7800,1580,1968,47.6283
1.35E+06,4800,14984,3480,1998,47.5543
799000,2510,11585,2510,1969,47.5483
365500,1410,9600,1410,1983,47.7591
252350,1650,7352,1160,1979,47.4612
403950,2120,13780,2120,1993,47.4987
385000,2040,10726,1380,1954,47.772
345000,1550,7620,1550,1957,47.5287
490000,1980,3128,1980,1979,47.6109
330000,1600,26977,1600,2005,47.7736
927000,3300,12090,3300,1953,47.6294
1.12E+06,3840,16619,3840,1983,47.5634
330000,1220,10000,1220,1950,47.7405
530000,2720,8800,1500,1958,47.5976
365000,1940,25600,1940,1962,47.5722
378750,2160,3000,1260,1909,47.5644
269900,1530,8750,1530,1968,47.4556
557000,1710,2096,1290,2008,47.6055
360000,3730,16980,2150,1974,47.1775
352000,940,5000,940,1937,47.6879
437000,1750,22357,1750,1994,47.4807
322500,1820,6753,1820,1994,47.3845
650000,1510,2000,1330,2001,47.5815
450000,1290,1213,1290,2001,47.6609
278500,1570,5250,1570,1998,47.3163
364950,1930,6957,1930,1995,47.4309
840000,2840,40139,2840,1986,47.401
268000,1550,8134,1550,1991,47.404
517534,833,143947,833,2006,47.3889
632925,2990,32239,2990,1978,47.7718
577500,2000,7251,2000,1995,47.7067
339000,2390,7480,2390,1920,47.504
570000,2910,37461,1530,1967,47.7015
563500,2085,174240,1610,1964,47.5753
423000,2200,9351,1290,1962,47.7448
355000,1860,5028,1860,2012,47.7318
1.55E+06,6070,171626,6070,1999,47.5954
482000,950,3960,950,1941,47.6885
625000,1600,9135,1600,1955,47.5724
538000,2250,11632,2250,1988,47.5272
380000,2280,10255,2280,1985,47.4334
375000,940,5120,940,1909,47.6073
245000,1530,8500,1030,1996,47.3592
310000,2190,27260,2190,1947,47.4546
1.30E+06,2350,15021,1770,1976,47.6408
397000,1440,7680,1200,1971,47.7245
365000,2200,4052,2200,2005,47.4362
328500,2290,8250,2290,1990,47.3739
988000,4040,19700,4040,1987,47.7205
1.00E+06,2610,3277,1920,1922,47.6636
237000,1490,2138,1490,2005,47.4324
525000,2450,5280,2450,2003,47.7734
749000,1710,9627,1440,1976,47.559
722500,4870,11800,3470,1983,47.633
843000,3130,8750,3130,1991,47.6954
438000,1270,1372,1270,2000,47.6776
578000,2120,10875,1540,1977,47.504
227950,1670,8230,1670,1954,47.2613
196000,2070,11576,2070,1974,47.3417
641000,1420,5332,1070,1953,47.6694
350000,1250,219978,1250,1980,47.4056
205000,940,7980,940,1960,47.3838
400000,1920,9102,1920,1968,47.7487
1.03E+06,3545,9816,2610,2005,47.5534
505000,1260,5460,1260,1972,47.7355
475000,2340,7200,1300,1975,47.7206
520000,2590,9263,1440,1977,47.7691
1.45E+06,3970,24920,3260,1977,47.7183
333500,1220,9732,1220,1965,47.7736
232000,1400,10403,1400,1976,47.362
691100,2360,16117,1710,1983,47.5698
811000,1870,9897,1870,1960,47.5505
551000,2830,5802,2830,2001,47.7605
496500,2260,3640,2260,1994,47.7356
705000,1970,20978,1770,1980,47.3844
578000,3140,9225,1770,1966,47.4904
255000,1240,8659,1240,1986,47.3663
1.05E+06,3450,7832,3450,2007,47.5637
348000,2570,8491,2570,1989,47.3759
230000,1510,3413,1510,1985,47.3912
359500,2390,11250,2390,1988,47.3305
330000,980,7000,980,1953,47.7617
80000,430,5050,430,1912,47.6499
465000,1480,6360,1480,1954,47.7311
325000,1850,7324,1850,1997,47.3701
340500,2270,28025,1920,1947,47.4857
342500,1810,5192,1810,1993,47.3724
290900,1610,17600,1610,1930,47.4855
868700,3840,6161,3840,2000,47.6336
1.20E+06,4110,8400,3130,1928,47.717
1.15E+06,4190,10259,3150,2000,47.6332
859900,3390,6298,3390,2011,47.5906
520000,1890,3006,1890,2003,47.5461
460000,1610,2527,1080,2005,47.5674
438924,1050,4590,850,1949,47.6943
315000,630,6550,630,1918,47.5486
590000,2910,10650,1780,1975,47.6658
378500,1700,8640,850,1955,47.5772
328500,1950,8130,1950,1990,47.3875
849950,2990,9773,2990,1973,47.6344
525000,1350,6000,900,1950,47.5275
1.39E+06,4860,181319,4860,1993,47.6179
295000,2160,7725,1460,1978,47.3078
1.07E+06,4860,11793,3860,1998,47.5521
207950,890,5000,890,1917,47.5158
699900,2810,7302,2810,2002,47.5985
1.28E+06,3400,9500,3400,1977,47.5645
452000,1580,7350,960,1963,47.6734
370000,1680,5036,1680,1987,47.4734
232000,1300,11230,1300,1968,47.3811
669950,2820,14062,2380,1960,47.7081
397500,1510,6710,1070,1972,47.7193
490000,1230,1391,870,2004,47.6192
725000,2110,4140,1710,1925,47.5836
299000,3080,19635,1610,1958,47.3841
625000,1490,5750,1190,1900,47.5872
437500,2120,4500,2120,2000,47.5322
650000,3180,5438,3180,2003,47.5416
475000,1490,3825,860,1929,47.6799
342000,1930,11947,1930,1966,47.3672
1.20E+06,2770,7800,2770,1999,47.684
280000,1670,11610,1670,1963,47.4404
240000,1330,7200,1330,1993,47.4467
529000,1210,3328,1210,1924,47.6729
442000,1190,5100,1030,1941,47.5346
615000,1540,6872,820,1946,47.6454
1.49E+06,4030,10800,4030,2006,47.6821
585000,2430,7559,1580,1981,47.7206
480000,2600,7787,2600,2005,47.4877
1.10E+06,4410,57063,4410,1990,47.6554
290000,1330,8184,1330,1949,47.7343
615000,1900,5000,950,1951,47.5789
300000,1100,7680,1100,1950,47.7439
308000,1980,39150,1580,1932,47.3818
750000,2400,7745,2400,2001,47.6734
2.25E+06,4760,8036,3390,1916,47.6415
890000,3180,194278,3180,2005,47.4711
288000,1190,7560,1190,1958,47.452
190000,630,6000,630,1943,47.4973
515000,2530,5105,1520,2005,47.7546
235000,1690,11054,1690,1930,47.4667
275000,940,5000,940,1951,47.5186
727500,1240,9119,1240,1952,47.6221
650000,3040,6587,3040,2003,47.683
1.60E+06,6050,230652,6050,2001,47.6033
365000,1590,7085,1590,1944,47.7315
662000,2500,36947,2500,1984,47.6917
270500,1780,7848,1320,1978,47.3608
200000,1360,1898,1360,1978,47.2852
970000,4740,76230,4740,1987,47.5931
160000,1010,9600,1010,1962,47.4097
204000,1040,7405,1040,1971,47.3105
358000,1610,6655,1610,1985,47.4296
452000,1570,8268,1570,1979,47.7373
595000,1510,4000,1010,1900,47.6582
249000,1360,6082,1360,1994,47.3577
346900,1970,5106,1970,1999,47.449
2.13E+06,5403,24069,5403,1976,47.4169
280000,1560,4350,1560,2003,47.5025
318888,2320,12000,2270,1973,47.3644
530000,2120,40518,2120,1967,47.5896
375000,2120,18500,2120,1983,47.3914
910000,3350,29242,3350,1988,47.7197
782000,2380,9614,2380,1991,47.5623
259950,1070,649,720,2008,47.5213
315000,2300,18360,1560,1979,47.4518
215000,1320,8865,1320,1943,47.4949
705000,2180,10221,1140,1946,47.5885
1.45E+06,4380,6320,3580,1952,47.6452
451000,1790,9813,1790,1949,47.749
261000,750,8125,750,1943,47.4727
396000,1300,8280,1300,1956,47.7403
725000,2990,29170,2990,1999,47.5146
1.95E+06,4640,15235,2860,1965,47.5666
238000,1400,7242,1400,1959,47.4339
750000,2750,9563,2750,1973,47.6368
331500,2050,10271,2050,1998,47.3628
460000,2230,108900,1410,1978,47.52
404950,2340,217014,2340,1982,47.2953
880000,2870,5163,2870,2014,47.6935
863000,4120,22370,4120,1997,47.6239
638700,2080,9162,1370,1960,47.5846
435000,1840,5680,1840,2008,47.6969
260000,1180,5350,1180,1959,47.505
671500,2160,4000,1530,1927,47.667
610000,1180,3400,1180,1907,47.6376
405000,1160,15029,870,1937,47.6929
338900,1830,5612,1830,2003,47.3572
720000,3200,7708,3200,2004,47.5816
442000,2560,5445,1760,1927,47.5502
650000,2550,5040,2550,1902,47.6136
263500,1330,9917,1040,1981,47.4478
300000,1220,75794,1220,1963,47.4219
266000,1805,3402,1805,2009,47.3521
930000,6050,84942,4150,2009,47.7466
530000,2320,5493,2320,2004,47.7727
180000,1384,8960,1384,1965,47.3062
619000,2720,6439,2720,2005,47.5422
264000,1820,10608,1820,1962,47.3366
730000,2130,4920,1530,1941,47.573
439000,2060,10070,2060,1975,47.7258
268500,1420,7500,1080,1981,47.4025
330000,1510,15744,1510,1985,47.476
640000,2160,4000,1960,1903,47.6045
900000,3180,12600,3180,1978,47.6366
370000,2110,13300,2110,1985,47.3725
685000,2060,2900,1330,1931,47.5897
505000,1830,217800,1010,1981,47.6277
265000,1820,32666,1820,1966,47.1803
290000,1610,2937,1610,2006,47.4489
296000,1780,3600,1780,2006,47.3665
360000,1840,9611,1840,1996,47.4964
240500,1460,10584,990,1997,47.492
372500,1400,2958,1400,2007,47.5496
595000,3370,14402,3370,2004,47.5008
515000,3590,8249,3590,1997,47.2846
1.22E+06,3200,15367,3200,1962,47.5494
507000,1670,6460,1670,2004,47.7123
399950,2420,31465,2420,1984,47.3131
185000,1430,10816,1430,1994,47.3122
460000,1440,7070,1440,1980,47.6947
435500,1450,4789,1450,1985,47.5665
469000,3550,13938,2100,1966,47.425
531000,1270,1175,1110,2000,47.6634
443500,940,6804,940,1949,47.7047
223000,1670,6824,1300,1990,47.3666
590000,3100,15842,2400,1996,47.7466
340000,1100,1760,1100,1997,47.6972
650000,1870,3388,1230,1925,47.6372
533600,1930,5080,1930,1990,47.5694
695000,2540,4694,2540,2005,47.6214
242000,1280,7524,1280,1988,47.3961
425000,1820,8814,1280,1967,47.7162
525000,1490,9414,1490,1981,47.6844
485000,1880,5502,1880,1988,47.5737
175000,1250,9775,1250,1971,47.4474
210000,1440,7210,1440,1983,47.3128
260000,1920,7415,1920,1989,47.4022
577000,2060,5750,1330,1976,47.5671
200000,1210,10588,1210,1958,47.2876
605000,1760,5000,940,1927,47.682
325000,990,6750,990,1947,47.7125
289500,960,6400,820,1944,47.496
559950,1660,1458,1660,2014,47.5876
1.04E+06,1900,9375,1330,1941,47.6821
543500,1270,2790,990,1970,47.6581
480000,3250,34293,3250,1983,47.3496
218000,960,9633,960,1982,47.1951
565000,1330,6000,960,1914,47.6539
426700,2080,7700,1600,1968,47.5375
650000,2690,11575,2130,1957,47.7605
542000,890,3060,770,1910,47.6663
415000,1070,8000,1070,1977,47.6978
214000,1200,8316,1200,1953,47.3221
245000,1360,8910,1360,1949,47.4488
314500,2050,13303,2050,1993,47.2681
1.12E+06,3000,5750,2000,1924,47.5821
378000,1300,3850,800,1963,47.5395
305000,2250,9091,1340,1982,47.336
595000,3740,6750,1980,1978,47.7679
729500,1660,1091,1530,2015,47.5818
430000,2360,6699,2360,2003,47.5317
240000,1760,6500,1150,1987,47.3647
545000,1680,6200,1680,1916,47.5338
530000,1320,2500,870,1918,47.6681
157000,870,26326,870,1939,47.4152
425000,1260,7645,1260,1925,47.5044
220000,1000,6020,1000,1944,47.4793
521000,2020,36400,1550,1976,47.7627
325000,1920,6862,1120,1952,47.5193
597500,2150,5400,1380,1911,47.555
337000,1470,3976,1470,1999,47.526
1.00E+06,3180,10492,3180,1991,47.655
3.07E+06,3930,55867,2330,1957,47.7022
495000,990,6000,990,1943,47.6718
748000,2770,3330,1970,2001,47.6327
888000,1250,8710,1250,1953,47.6245
269900,1140,22267,1140,1986,47.4761
496500,2250,14440,1550,1967,47.5221
475000,1640,5097,1640,1969,47.7522
312000,1255,1374,1255,2004,47.7145
323000,1290,12231,1290,1976,47.7404
331000,1300,9079,1300,1986,47.4834
306000,1220,1086,1220,2007,47.7049
655000,2630,4000,2630,2002,47.6915
290000,1950,15954,1950,1959,47.336
1.25E+06,3160,5000,2360,1965,47.6597
460000,1550,4708,860,1949,47.6759
435000,1700,6380,850,1940,47.6988
664000,2510,11880,1630,1978,47.5427
865000,1800,4180,1800,1921,47.6462
385000,1800,18000,1200,1968,47.4406
497000,1870,9315,1350,1975,47.705
280000,1010,3000,1010,1925,47.4965
188000,1120,17487,1120,1924,47.5024
478500,2090,4755,1200,1969,47.5304
1.15E+06,4370,18361,4370,2001,47.544
222000,1440,7187,970,1981,47.291
799000,2580,209523,2580,1984,47.6932
609900,3190,7399,3190,2006,47.3558
413000,2380,5809,1750,1995,47.5536
400000,1420,4875,1420,1930,47.6942
802541,2990,6768,2990,2014,47.5462
320000,2680,7757,2680,1990,47.2918
507000,2730,7649,2730,2006,47.5441
387500,1220,8329,1220,1946,47.6982
396000,1500,12616,1500,1967,47.7415
373000,1830,11788,1430,1958,47.4862
1.48E+06,4570,19252,4570,1965,47.5553
359900,2470,7698,2470,1983,47.4406
410000,800,4342,670,1927,47.6997
690000,2900,23488,2900,1992,47.6726
245000,1410,5760,1410,1985,47.3702
